source,setting,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz,nmi_vs_cat34,ari_vs_cat34,va_spread
video.clip,agglomerative_ward_K47,47,0,0.053379714488983154,2.7538108085889066,29.049592286149664,0.3726055746240383,0.08981115963457818,1.1465966701507568
video.clip,agglomerative_ward_K48,48,0,0.05156482756137848,2.777860483585332,28.679538827658885,0.3737754229120219,0.08561274959616977,1.1463749408721924
video.clip,agglomerative_ward_K49,49,0,0.05206494778394699,2.7695506096836593,28.322570202569885,0.37368539963437714,0.08534618042733084,1.143784523010254
video.clip,agglomerative_ward_K5,5,0,0.04425952956080437,3.4199603603332727,89.58631733384082,0.22498754957592354,0.07650160531667047,1.3934803009033203
video.clip,agglomerative_ward_K50,50,0,0.05180880427360535,2.7610690080244673,27.976374382611198,0.37386973669834106,0.0846962731050609,1.1422489881515503
video.clip,agglomerative_ward_K6,6,0,0.032157640904188156,3.386657314322456,81.14512211713173,0.24512090723394464,0.08885478494306087,1.3523153066635132
video.clip,agglomerative_ward_K7,7,0,0.03332795575261116,3.165024910482883,75.01038117433004,0.252827886364163,0.08921219131216243,1.2967334985733032
video.clip,agglomerative_ward_K8,8,0,0.03166451305150986,3.000260299037203,70.82972968319615,0.26026509835211653,0.08580266728924775,1.2930994033813477
video.clip,agglomerative_ward_K9,9,0,0.036296844482421875,3.048387076174976,67.77211520511223,0.2756496609333584,0.09876385509830335,1.2750089168548584
video.clip,gmm_K10,10,0,0.01609843038022518,3.628598051419157,56.998915965802404,0.22203897926829952,0.0521827171685779,1.2753254175186157
video.clip,gmm_K11,11,0,0.03156046196818352,3.204955108673151,60.05978010734566,0.27441144161304626,0.08796932359841013,1.2173861265182495
video.clip,gmm_K12,12,0,0.021546047180891037,3.6321957560087212,55.18786978646593,0.26941966785881727,0.08106519943817661,1.2206557989120483
video.clip,gmm_K13,13,0,0.02521570585668087,3.5671530224965817,54.010339215332365,0.2734645410771708,0.08528305163256383,1.2279369831085205
video.clip,gmm_K14,14,0,0.02242126129567623,3.5172821014077056,51.39694382770794,0.28054847807603683,0.08695266809586903,1.2344483137130737
video.clip,gmm_K15,15,0,0.024528220295906067,3.476104386604811,49.55985402977976,0.2819753812258112,0.0801006592424866,1.2220741510391235
video.clip,gmm_K16,16,0,0.026539988815784454,3.4389345009194625,47.96860676891958,0.2868808952913984,0.08626553901942573,1.21543288230896
video.clip,gmm_K17,17,0,0.029660504311323166,3.3546874594822524,47.49454954518661,0.2964226778655539,0.09109805464589932,1.2050714492797852
video.clip,gmm_K18,18,0,0.03364691138267517,3.195394560263367,46.76912335935759,0.3047311096202175,0.08891748877282633,1.193080186843872
video.clip,gmm_K19,19,0,0.03440512344241142,3.234718187254543,45.2833393307205,0.31485509171148224,0.09955022434727367,1.2112388610839844
video.clip,gmm_K2,2,0,0.02386048063635826,5.669859797781559,64.09270030915789,0.042373893364468465,0.007740859047514727,1.4274394512176514
video.clip,gmm_K20,20,0,0.03575466200709343,3.3178971216170865,43.98395168195343,0.31125950638040567,0.09670774357636355,1.2287226915359497
video.clip,gmm_K21,21,0,0.043119266629219055,3.2282522315207918,43.17912534901771,0.31786196362082225,0.09484629102798067,1.1753301620483398
video.clip,gmm_K22,22,0,0.04071309044957161,3.285015473607146,42.043245791223654,0.3217080267349341,0.09929001207746199,1.1550812721252441
video.clip,gmm_K23,23,0,0.041024476289749146,3.212368241775032,40.68803206027029,0.324734981276499,0.09025600551369811,1.1681842803955078
video.clip,gmm_K24,24,0,0.04471644014120102,3.158616007499182,40.5867137392419,0.33017510143334317,0.09990514803997481,1.1824047565460205
video.clip,gmm_K25,25,0,0.04642879590392113,3.13798599865373,39.723352060305345,0.3300031781794297,0.0943098288597464,1.1908990144729614
video.clip,gmm_K26,26,0,0.04314105957746506,3.1337899903809263,39.18101105078422,0.33224796193258693,0.09328254364089285,1.1707643270492554
video.clip,gmm_K27,27,0,0.04520779848098755,3.0857340042112593,38.55529855293763,0.3296829522730568,0.09205320456330743,1.1748778820037842
video.clip,gmm_K28,28,0,0.04420112073421478,3.0665543507125053,37.88344904557933,0.33208831516574966,0.09299426537375546,1.1819961071014404
video.clip,gmm_K29,29,0,0.042777031660079956,2.9958347529459783,36.16875529677544,0.3219984196242775,0.07617775848652787,1.1680591106414795
video.clip,gmm_K3,3,0,0.0010136705823242664,5.933923501889805,55.35638043006535,0.0695296991328452,0.023979395976685493,1.4208850860595703
video.clip,gmm_K30,30,0,0.05165095627307892,3.0813194058728723,37.2706717473992,0.33475955167620347,0.09096764757146472,1.1533329486846924
video.clip,gmm_K31,31,0,0.05102017894387245,2.9120880646844767,37.051729214916755,0.3382372260350267,0.09235250275451157,1.15581214427948
video.clip,gmm_K32,32,0,0.050448451191186905,2.9660420422630365,36.00598479812344,0.34856524695743485,0.09245990587230368,1.150039553642273
video.clip,gmm_K33,33,0,0.05020150914788246,2.917384156159633,35.57271019969807,0.35394395269348655,0.09337787235269498,1.1366853713989258
video.clip,gmm_K34,34,0,0.05019446089863777,2.893796842793295,35.94033375478021,0.34772251146462424,0.08744276302237912,1.1599595546722412
video.clip,gmm_K35,35,0,0.05347076803445816,2.8462203604958347,35.72791454240864,0.35116112302932023,0.08566828216458457,1.1543892621994019
video.clip,gmm_K36,36,0,0.05614464730024338,2.889448790251468,35.40899614655635,0.35192471516783114,0.08812890919759693,1.14841628074646
video.clip,gmm_K37,37,0,0.053189851343631744,2.93238595418894,34.39232909383374,0.34837584930283994,0.0833651684413875,1.1570918560028076
video.clip,gmm_K38,38,0,0.05293790251016617,2.937963673218004,33.43883863412872,0.3534136995098093,0.0831298938438966,1.1405333280563354
video.clip,gmm_K39,39,0,0.04777958244085312,2.931332406069358,32.72070936577306,0.3539461761704117,0.08497568499583534,1.166175127029419
video.clip,gmm_K4,4,0,0.003928177058696747,4.770747773236703,78.55606837972908,0.12561711608728707,0.03600302934757164,1.400007724761963
video.clip,gmm_K40,40,0,0.05472925677895546,2.8687269891497356,32.57191015551778,0.35775699173375164,0.08622469058023982,1.1511627435684204
video.clip,gmm_K41,41,0,0.053771913051605225,2.9678511450768243,31.84157821998003,0.35393200730306673,0.08110017312296697,1.1440503597259521
video.clip,gmm_K42,42,0,0.050137460231781006,2.9336856756495884,31.090277401206865,0.35778843459208287,0.08675132989071267,1.1382801532745361
video.clip,gmm_K43,43,0,0.0526132807135582,2.9276608256477377,31.084592924625955,0.3564394176642043,0.08421319760109067,1.1373177766799927
video.clip,gmm_K44,44,0,0.05658823251724243,2.8786393211034498,30.668220183481672,0.36152785931454345,0.08636315767027859,1.1517853736877441
video.clip,gmm_K45,45,0,0.055048104375600815,2.851924536693594,30.675191302791852,0.3627232486914062,0.08445893236184929,1.1562058925628662
video.clip,gmm_K46,46,0,0.05111725628376007,2.89776735376169,30.041341986221347,0.36366950650545127,0.08437879069424753,1.1430728435516357
video.clip,gmm_K47,47,0,0.052763957530260086,2.822421536819216,29.64034212984109,0.36084971540450317,0.08055781758408737,1.1396615505218506
video.clip,gmm_K48,48,0,0.05479283630847931,2.797217697934537,29.815973983264925,0.3714099912206514,0.08506107402171771,1.1472126245498657
video.clip,gmm_K49,49,0,0.05517902970314026,2.778087234120581,29.29611233231054,0.3732728723200296,0.08299497235271135,1.141795039176941
video.clip,gmm_K5,5,0,0.019137458875775337,3.7147546704083494,76.26858044909389,0.1781274957569631,0.02255751752156064,1.3195719718933105
video.clip,gmm_K50,50,0,0.05422317609190941,2.8301130882993943,28.87706710104907,0.368687316190375,0.08017796429575673,1.1365020275115967
video.clip,gmm_K6,6,0,0.029145848006010056,4.215007998880092,72.21603564694136,0.20014891081680503,0.08702279478106865,1.3749289512634277
video.clip,gmm_K7,7,0,0.015382930636405945,4.140278993049194,61.98530835161245,0.1933239614832472,0.042608613572445865,1.3205749988555908
video.clip,gmm_K8,8,0,0.022870386019349098,3.410429428946765,63.13040264039635,0.20887255263168575,0.038005813187311104,1.2313246726989746
video.clip,gmm_K9,9,0,0.01598753035068512,3.8357394514879775,58.273566866220975,0.2082784504550551,0.04792220453473131,1.253664255142212
video.clip,hdbscan_auto,2,1729,0.30597585439682007,1.3260072000786731,131.01589039857856,0.26545031805636227,0.10719836952799115,1.3146061897277832
video.clip,kmeans_K10,10,0,0.05594053491950035,2.907517140945272,78.04735431410475,0.2660312035997992,0.11476613617135877,1.3144763708114624
video.clip,kmeans_K11,11,0,0.061264097690582275,2.9609593573053057,74.59171589595114,0.2795701789481644,0.1317984849693344,1.303348183631897
video.clip,kmeans_K12,12,0,0.06219929829239845,2.9832418872596977,70.88493390095738,0.2917994050382925,0.13737005285731232,1.3073097467422485
video.clip,kmeans_K13,13,0,0.06418068706989288,3.043619407557659,67.31598021576228,0.2924504980058147,0.12127907477093346,1.2946429252624512
video.clip,kmeans_K14,14,0,0.0665966048836708,2.883573536279631,65.08361884921267,0.3062734874129301,0.12333360183711942,1.2714084386825562
video.clip,kmeans_K15,15,0,0.06124694645404816,2.9603210014966232,61.78236508884043,0.31586175230482694,0.1389554000265316,1.2647271156311035
video.clip,kmeans_K16,16,0,0.0638790875673294,2.8942319282669335,59.46022555757457,0.3228159430998091,0.1304679090599501,1.2669668197631836
video.clip,kmeans_K17,17,0,0.06624780595302582,2.916498757064041,57.89166657596394,0.32967865863839235,0.1235843832746539,1.2614305019378662
video.clip,kmeans_K18,18,0,0.06254956126213074,2.9110707335922723,55.890011042305204,0.3181984288790258,0.11293971004060996,1.2618536949157715
video.clip,kmeans_K19,19,0,0.07048968225717545,2.7729241107762745,55.23694390853468,0.33604657117544384,0.12464107963853448,1.2589802742004395
video.clip,kmeans_K2,2,0,0.07740798592567444,3.4323010577574142,181.78469330773092,0.07197312167827502,0.039702381052562095,1.4301173686981201
video.clip,kmeans_K20,20,0,0.07215060293674469,2.809178643285565,53.5924500994407,0.3469709580693364,0.12478626288588528,1.2299023866653442
video.clip,kmeans_K21,21,0,0.06640401482582092,2.733057657857883,51.354629616477915,0.3545291776198016,0.15454754889144554,1.2042105197906494
video.clip,kmeans_K22,22,0,0.06833241879940033,2.826528984647601,50.105505261502955,0.3488236880646132,0.1238876862796128,1.2363284826278687
video.clip,kmeans_K23,23,0,0.06816871464252472,2.89903706441701,49.199924639944335,0.35220397420257415,0.1264760679094238,1.2202987670898438
video.clip,kmeans_K24,24,0,0.07377173006534576,2.740277475040465,48.18748791175665,0.353228952348898,0.10897689212108422,1.2018781900405884
video.clip,kmeans_K25,25,0,0.07217295467853546,2.7732846613822,47.0560850881904,0.3525332992828384,0.11191642951536726,1.2220852375030518
video.clip,kmeans_K26,26,0,0.0700131505727768,2.803180945707307,45.97142393363918,0.3573874766450467,0.12268795567307868,1.1927831172943115
video.clip,kmeans_K27,27,0,0.06974337995052338,2.7545694303616637,45.240810843702604,0.3660019160798481,0.11708947513126146,1.1965502500534058
video.clip,kmeans_K28,28,0,0.06904923170804977,2.8551965243940214,43.69008524094076,0.3643824014598806,0.11154275833455862,1.1947356462478638
video.clip,kmeans_K29,29,0,0.06867414712905884,2.698620673616551,43.15035169651571,0.37289175238243066,0.11775276183186155,1.171919345855713
video.clip,kmeans_K3,3,0,0.08726843446493149,3.0299262638394726,151.18594401564883,0.14068897677059475,0.058970673649258724,1.4223699569702148
