setting,video,brain,nmi,ari,n_video_clusters,n_brain_clusters
agglomerative_ward_K45,video.clip,brain.swift,0.13890421782317844,0.0044238976226346855,45,45
agglomerative_ward_K46,video.vjepa2,brain.roi_mean,0.1945185136902472,0.016142362988520342,46,46
agglomerative_ward_K46,video.vjepa2,brain.brain_jepa,0.15867154558651841,0.0077543504032423684,46,46
agglomerative_ward_K46,video.vjepa2,brain.swift,0.13053675394424857,0.0012867525944425197,46,46
agglomerative_ward_K46,video.clip,brain.roi_mean,0.2242377242836603,0.026123514243393063,46,46
agglomerative_ward_K46,video.clip,brain.brain_jepa,0.17025735964785205,0.009274359929392737,46,46
agglomerative_ward_K46,video.clip,brain.swift,0.14332781080508888,0.0039172592086973036,46,46
agglomerative_ward_K47,video.vjepa2,brain.roi_mean,0.19791810656591793,0.01574577866167957,47,47
agglomerative_ward_K47,video.vjepa2,brain.brain_jepa,0.16188828829350996,0.0074398082633059534,47,47
agglomerative_ward_K47,video.vjepa2,brain.swift,0.13349504269561918,0.0011844866557040382,47,47
agglomerative_ward_K47,video.clip,brain.roi_mean,0.22753573395393123,0.025962217760314283,47,47
agglomerative_ward_K47,video.clip,brain.brain_jepa,0.17393810870522497,0.009263212340745475,47,47
agglomerative_ward_K47,video.clip,brain.swift,0.1464105971518011,0.003919274745120674,47,47
agglomerative_ward_K48,video.vjepa2,brain.roi_mean,0.20204166174656782,0.015047018673896772,48,48
agglomerative_ward_K48,video.vjepa2,brain.brain_jepa,0.16455175807355757,0.007308153051409639,48,48
agglomerative_ward_K48,video.vjepa2,brain.swift,0.1360782261257794,0.0010768671977244171,48,48
agglomerative_ward_K48,video.clip,brain.roi_mean,0.2313772692090745,0.025725562259413803,48,48
agglomerative_ward_K48,video.clip,brain.brain_jepa,0.177157738382479,0.009265082099895254,48,48
agglomerative_ward_K48,video.clip,brain.swift,0.15011752475296422,0.0041048057505861475,48,48
agglomerative_ward_K49,video.vjepa2,brain.roi_mean,0.2074416897942625,0.016071061477884955,49,49
