subject,fold,component,heldout_correlation,train_singular_value,fold_empirical_p
2,1,1,0.6560093069602332,0.7752856983853341,
2,1,2,0.6085579685461995,0.7385096146547656,
2,1,3,0.5740247113234984,0.6834196745377277,
2,1,4,0.40526845501891434,0.604998946693049,
2,1,5,0.3189100733126792,0.5852795003271676,
2,1,6,0.4064179541704198,0.5713240000781266,
2,1,7,0.20331538786006595,0.5483236006977714,
2,1,8,0.2381625649083203,0.49778555830181226,
2,1,9,0.2250575550487886,0.4942181089530951,
2,1,10,0.11423526143257541,0.4800556977074149,
2,1,11,0.2068621282197977,0.47672203279377,
2,1,12,0.07158708384286136,0.457876106376113,
2,1,13,0.18657436678762832,0.452512872745279,
2,1,14,0.05915387410513607,0.4454124494743616,
2,1,15,0.08441040738900958,0.43057090804106996,
2,1,16,0.05909142039429952,0.42469948250289025,
2,1,17,0.08755753417999125,0.4184564339603663,
2,1,18,0.07525070548580359,0.40463504428462316,
2,1,19,0.15971397203674528,0.4012672909440982,
2,1,20,0.05722109038419171,0.39304856605449123,
2,2,1,0.6983087580340636,0.762090848125812,
2,2,2,0.6574766091386284,0.7299535420288045,
2,2,3,0.48396619219551223,0.6884407487366484,
2,2,4,0.42519519948797957,0.596524731181339,
2,2,5,0.40009941173375707,0.5762900168762076,
2,2,6,0.3747950727468345,0.5704579901619222,
2,2,7,0.3317687994789317,0.5251711667226775,
2,2,8,0.24569564176277517,0.49215873619088557,
2,2,9,0.18151801169427265,0.4909480688594243,
2,2,10,0.10506724454076283,0.47860477435573007,
2,2,11,0.2501056350373904,0.4704493875121601,
2,2,12,0.14253916170328026,0.45006611484355896,
2,2,13,0.15659445989201845,0.4437776154099663,
2,2,14,0.10501032213097351,0.43284743290507155,
2,2,15,0.024304776254978393,0.4311689344142889,
2,2,16,0.1304750143692072,0.4192867093552967,
2,2,17,0.07464447842380335,0.41107632334152266,
2,2,18,0.0391951264094346,0.40815114116878454,
2,2,19,0.08014420662624167,0.3941753515881061,
2,2,20,0.023264910022285874,0.3868866081675477,
2,3,1,0.6643227858703895,0.7695228305387847,
2,3,2,0.6638614542631927,0.7342219514144344,
2,3,3,0.5896169370205873,0.6804485408178136,
2,3,4,0.3978589853925455,0.5968048068672931,
2,3,5,0.41714683063040225,0.5835288835404427,
2,3,6,0.31808685099618295,0.5643175562617384,
2,3,7,0.3340650227664021,0.5484972193880605,
2,3,8,0.19638941889290787,0.4969210192835609,
2,3,9,0.26675438140050456,0.486450067213852,
2,3,10,0.13981086417586996,0.4854133675727461,
2,3,11,0.24395454646605122,0.47222359922925095,
2,3,12,0.10069523616287399,0.450710661913483,
2,3,13,0.19626292524739833,0.441539185215261,
2,3,14,0.16983799079650608,0.43826466485064725,
2,3,15,0.07965590373209872,0.4188207322613108,
2,3,16,0.10010039096937362,0.41007475936249604,
2,3,17,0.07769283005022479,0.40613288594509905,
2,3,18,0.11181238401194815,0.3978587578454861,
2,3,19,0.09314675105099772,0.39394304608384784,
2,3,20,0.06949878757282843,0.38484607393800757,
2,4,1,0.6738806537235646,0.7655830022187783,
2,4,2,0.6526886676465625,0.7354806201226541,
2,4,3,0.5643536607591015,0.6851217849433349,
2,4,4,0.43035660796891123,0.6028882127322306,
2,4,5,0.3850746796912451,0.5896196743672804,
2,4,6,0.3619198700024055,0.5680251738297801,
2,4,7,0.32904530209124266,0.5332252354363665,
2,4,8,0.1553772342374827,0.5144287498077866,
2,4,9,0.1866643110500857,0.4985896182422937,
2,4,10,0.09909650870586785,0.4774197856986827,
2,4,11,0.27032257655602626,0.46819073859852867,
2,4,12,0.10327875227306672,0.45817811593843105,
2,4,13,0.20249872441509284,0.4462140275792719,
2,4,14,0.09199001805422977,0.4358898195563191,
2,4,15,0.1379650085236238,0.4203932997910139,
2,4,16,0.14875622696239263,0.4163424086752084,
2,4,17,-0.019918178936891424,0.4121889232181627,
2,4,18,0.0846493083793047,0.3959975405806083,
2,4,19,0.11007072780754391,0.39208750566867673,
2,4,20,0.10793928062570733,0.3873813019023854,
2,5,1,0.6692057446537943,0.7688075308377396,
2,5,2,0.6438263708280124,0.7364489497270601,
2,5,3,0.5516934567063612,0.6869465045670324,
2,5,4,0.39453813145886596,0.6087802039542608,
2,5,5,0.3569415041543974,0.5765804270733655,
2,5,6,0.43662891491370015,0.5558016525570427,
2,5,7,0.2751473950464054,0.5294333697416678,
2,5,8,0.2797439252622146,0.5140453855574579,
2,5,9,0.22091824342381186,0.4825887175158437,
2,5,10,0.14936791251075177,0.477101094176538,
2,5,11,0.23129273911148518,0.4610654027618995,
2,5,12,0.004631546322424276,0.4489847912076469,
2,5,13,0.17103968096867156,0.4405317204848701,
2,5,14,0.09448766682591833,0.4321015845208493,
2,5,15,0.06204026317375148,0.42450360483928007,
2,5,16,0.1964960411204,0.41763868619386335,
2,5,17,0.04706625327796813,0.4133931205193572,
2,5,18,0.14444202138630619,0.41018514049215754,
2,5,19,0.10419853080463817,0.4033974296417775,
2,5,20,0.10540960581410895,0.39413988344940615,
3,1,1,0.6753266501628419,0.7724199643080031,
3,1,2,0.5750347976453262,0.7285454617577074,
3,1,3,0.5843486214376759,0.6902600470264034,
