parcel,network,principal_gradient_1,shared,shared_sem_subject,unique_e34_shared,unique_e34_shared_sem_subject,unique_av_shared,unique_av_shared_sem_subject,fine_grained_advantage,fine_grained_advantage_sem_subject,video,video_sem_subject,unique_e34_video,unique_e34_video_sem_subject,unique_av_video,unique_av_video_sem_subject
82,DorsAttn,-0.012214681180751502,0.033123755149647716,0.008600641613913676,0.01261006862256242,0.006693540014947512,0.005160477362333849,0.0015604969081972338,0.0074495912602285715,0.005324077603797077,0.03564834834853261,0.012625924964002442,0.00483284925713352,0.0026081670981739718,0.0037468298942552767,0.0007847514311194257
83,DorsAttn,-0.011224996277154835,0.11836016916716718,0.024863994444740432,0.015023462649709973,0.005953312668265044,0.0047895749182676585,0.00315717361530838,0.010233887731442315,0.004768475456022504,0.12221785219381313,0.02590082554918129,0.015707913448324874,0.0041996635710078245,0.004191218070340619,0.001944381898417734
84,DorsAttn,-0.012790741293073291,0.10147697628152035,0.01529360860509606,0.0076665159126374505,0.004819822906015596,0.003971778391143909,0.002816261476788124,0.0036947375214935406,0.0039317165441341935,0.10330227205497784,0.018354520663034946,0.009295343787380395,0.002282631534108365,0.003054916403278063,0.000706815557013026
85,DorsAttn,-0.013144065390652182,0.07438846727376378,0.008533815597625845,0.014795614833857251,0.006362507926526192,0.0012248182221608506,0.0008267781598300602,0.013570796611696401,0.005766503840356747,0.07093713280352103,0.010896710577008636,0.012846251433859224,0.005389283601106283,0.0015007790918445175,0.0006199776405996333
86,DorsAttn,-0.010948667435270858,0.09415739383637736,0.02680192249777543,0.0176282293831288,0.00667380920827693,0.004381909232786074,0.0013706959136804316,0.013246320150342727,0.00748238001356598,0.09425664686435675,0.026112769725163423,0.01692068875587527,0.002939236716501501,0.0041242959934501,0.00109543350423311
87,DorsAttn,-0.004820178447253837,0.054125860793119276,0.011665054896796407,0.01338045602443505,0.004991931351511039,0.003447575510169165,0.0015984716846905698,0.009932880514265885,0.005219489635327053,0.05430703825558547,0.0141718448821513,0.011184536571784665,0.0038629987047542175,0.00358145354740258,0.0013841787250837177
88,DorsAttn,-0.010648184890611864,0.06332088890325072,0.012843918787228679,0.027995686838187473,0.004973277633146437,0.005779207178049739,0.0016440433343029907,0.022216479660137733,0.0036257195911564483,0.0674891569260317,0.009215491937331571,0.024461215810552227,0.00496134799041682,0.005183963861408158,0.001314069987109001
89,DorsAttn,-0.0009404471901594835,0.03041045853566813,0.0070482164448553595,0.00801060133328706,0.003135202369903146,0.0015384899936743857,0.0015809288141427212,0.006472111339612674,0.0032628150992222845,0.009569012930266508,0.007007944587062224,0.008860825835344732,0.0029347211765915165,0.001406327436601118,0.0010352365223384168
90,DorsAttn,-0.0029217759484816783,0.02311753274077366,0.005058203355153637,0.004682838234126607,0.004998147180765857,0.0023327527287655193,0.002370596806035887,0.002350085505361088,0.002954627652952739,0.007109368788281212,0.0034439047702816876,0.0032143105648965832,0.0037749694303732604,0.0019467334604701624,0.0016813227830495606
91,DorsAttn,0.0012623917328988515,0.0072488181364417596,0.005278836124118356,0.008806159706339911,0.0037319925714735937,0.00651280126415219,0.004326959143415679,0.0022933584421877206,0.001978403367267786,0.001129617894108348,0.005223277918154244,0.003000487078469405,0.0024628133305647313,0.0034035054508217756,0.0021630430643694363
92,SalVentAttn,0.0047904427972880245,0.03119143478206854,0.01178753936562738,0.00013202160789194117,0.002168026189869589,0.0002506406695071739,0.0003330709175394648,-0.00011861906161523273,0.0022763965522173122,0.018770510080283697,0.010402329133001698,0.0011952874274899772,0.0025919478280593696,0.0008089216207844308,0.00052955100532797
93,SalVentAttn,0.0006589737474618188,0.018709173484318574,0.005921534288592209,0.007739751203221612,0.0029411393851696485,0.0015686731380235353,0.0007664746904197465,0.006171078065198077,0.002714072503145627,0.012015717793824886,0.004392655845484924,0.0027992895018469355,0.002078655141059698,0.0008534029425261158,0.0005727124974598694
94,SalVentAttn,-0.008794825259262798,0.04226123630383087,0.009478373455006649,0.01523828200759283,0.0023525511459293533,0.0014909370680734834,0.000543784324083621,0.013747344939519346,0.0023786786757307,0.041952604456164555,0.007200364502980364,0.012450177663616602,0.00219816291434841,0.00129712170762184,0.0004362471634066504
95,SalVentAttn,-0.008023630556487643,0.07927620099950464,0.011707050596395126,0.00864471549399044,0.003638084762815912,0.0027228917403133712,0.0013609150323073984,0.005921823753677069,0.0027976422177004054,0.0754004817736631,0.013156988924887647,0.009171760216179358,0.0034041995084796925,0.003309367656838047,0.001128520297632971
96,SalVentAttn,-0.006905376919497417,0.1114456928213319,0.010669825832435378,0.003570657009132261,0.00554971872906276,0.003505899875968632,0.0019105509030190372,6.475713316362874e-05,0.00522353092481079,0.09701643292722675,0.009052698072615658,0.008431836293564077,0.004035275872008504,0.002938221316497969,0.0012166387289162801
97,SalVentAttn,-0.007058871595413621,0.145221172293994,0.018922299210047913,-0.00312021987989477,0.0036870175429268744,0.0032311869644533696,0.0013578446725143673,-0.0063514068443481396,0.004279244870085693,0.1309809647484827,0.02036964237775147,0.007894063884498759,0.002462588917606587,0.0038530807912907196,0.0009230538571995693
98,SalVentAttn,-0.001989720571555342,0.023969675490192622,0.007803416257341968,0.00453856461431541,0.0039637897234839695,0.00224707554688095,0.0016322417975216212,0.00229148906743446,0.002617192491597293,0.01788749541300507,0.009017866185799108,-0.00037956501605194146,0.0026568377060565075,0.0017566187107075138,0.0011727887968606997
99,SalVentAttn,0.0017464175084282454,0.01124739947060105,0.006903123320825667,0.009547650257118212,0.002556414551945369,0.0031795446101176017,0.001693862372949539,0.00636810564700061,0.0018548224915982214,0.007786795497103127,0.0068234216923502315,0.0031962657952086192,0.003549180755255288,0.0019693836100275197,0.0015442935624766154
100,SalVentAttn,-0.007460662267203216,0.051707247021908744,0.011511754748532397,0.018462689010583833,0.004180107080309486,0.005095856857467851,0.0017364844513722353,0.013366832153115982,0.004138377050846505,0.05938182453906362,0.010077133246919003,0.01023110336446469,0.0027002139125780096,0.0034934755516182747,0.0012000537789831828
