pc,cumulative_video_variance,seq_r2_raw,seq_r2_clipped,seq_pearson_r,seq_spearman_r,seq_p_raw,seq_q_raw,seq_p_clip,seq_q_clip,shuf_r2_raw,shuf_r2_clipped,shuf_pearson_r,shuf_spearman_r,shuf_p_raw,shuf_q_raw,shuf_p_clip,shuf_q_clip,confirmed_shared_seq,confirmed_shared_shuf
24,0.641496535051491,-0.3333728392787321,0.0,0.06722415313905863,0.08653920013274992,1.0,1.0,1.0,1.0,-0.2775942534314325,0.0,0.07131521959765678,0.08323496899451452,1.0,1.0,1.0,1.0,False,False
25,0.649943305321515,-0.23913769055004153,0.0,0.07365819806071552,0.07056578155694285,0.006993006993006993,0.0368052999631947,1.0,1.0,-0.21327111838470186,0.0,0.09578109873143739,0.10366084245136155,0.000999000999000999,0.005876476464711759,1.0,1.0,False,False
26,0.6580721914659383,-0.3127606100190102,0.0,0.017401966321314306,0.02009931836832726,1.0,1.0,1.0,1.0,-0.32275975653916,0.0,0.014869195463155547,0.013967095419652182,1.0,1.0,1.0,1.0,False,False
27,0.6660428143393761,-0.24282276387284404,0.0,0.09713597825669486,0.10297831630136871,1.0,1.0,1.0,1.0,-0.2459314141958023,0.0,0.09242909981787552,0.1036466995704404,1.0,1.0,1.0,1.0,False,False
28,0.6735790094527678,-0.362609378165459,0.0,0.02528166903186526,0.04183414251622242,1.0,1.0,1.0,1.0,-0.31459853182483866,0.0,0.027657596299484635,0.05756169962581358,1.0,1.0,1.0,1.0,False,False
29,0.6810033123794801,-0.20064812146323727,0.0,0.12151550277910439,0.12584075063684727,0.000999000999000999,0.007135721421435708,1.0,1.0,-0.20505241401094149,0.0,0.1095780951702437,0.10895282619809638,0.000999000999000999,0.005876476464711759,1.0,1.0,False,False
30,0.6881346341344191,-0.1961875647943462,0.0,0.11260831115730519,0.12710687926813458,1.0,1.0,1.0,1.0,-0.2584847433868215,0.0,0.08901875620786884,0.09755978572114155,1.0,1.0,1.0,1.0,False,False
31,0.6947781908316782,-0.3075499986020517,0.0,0.0527646478230316,0.06784708029818674,1.0,1.0,1.0,1.0,-0.31071904985269644,0.0,0.057794291211010713,0.07309820101775326,1.0,1.0,1.0,1.0,False,False
32,0.7013294781374557,-0.26217313953989935,0.0,0.07082957617851693,0.08483496313835298,1.0,1.0,1.0,1.0,-0.3117591468684268,0.0,0.052284603269942685,0.07118021493197091,1.0,1.0,1.0,1.0,False,False
33,0.7075906184705625,-0.20792250046148036,0.0,0.10946184620465273,0.10884236632367043,1.0,1.0,1.0,1.0,-0.26065736484085217,0.0,0.08273359074638915,0.09033884680155102,1.0,1.0,1.0,1.0,False,False
34,0.7135085824562863,-0.31123102668366476,0.0,0.02534587262724649,0.04287107871346166,1.0,1.0,1.0,1.0,-0.29623794689756855,0.0,0.036121745512929807,0.0432739923600898,1.0,1.0,1.0,1.0,False,False
35,0.7192583173495697,-0.2506208363037453,0.0,0.10667329261515976,0.11106739827116527,1.0,1.0,1.0,1.0,-0.2571860161986383,0.0,0.10536453776920357,0.10789892820662539,1.0,1.0,1.0,1.0,False,False
36,0.7248672460063543,-0.33974823399870047,0.0,0.02586094609562067,0.04227643927491007,1.0,1.0,1.0,1.0,-0.3238349985913164,0.0,0.02769929955741245,0.028731075373092527,1.0,1.0,1.0,1.0,False,False
37,0.7301894131819062,-0.3068047262365074,0.0,0.028805562737004246,0.0376869291853146,1.0,1.0,1.0,1.0,-0.26633104396734103,0.0,0.044671819817951784,0.0462603350871701,1.0,1.0,1.0,1.0,False,False
38,0.735154690256588,-0.31749468770843003,0.0,0.023005060648438404,0.03990429352755673,1.0,1.0,1.0,1.0,-0.2917126521192531,0.0,0.043840504672349664,0.06626697096785047,1.0,1.0,1.0,1.0,False,False
39,0.7400540333940708,-0.24008878420332377,0.0,0.08178733396153957,0.08530489744111079,1.0,1.0,1.0,1.0,-0.32834372070875956,0.0,0.029794870781374487,0.046600342851352325,1.0,1.0,1.0,1.0,False,False
40,0.7449179498802242,-0.3128564695754984,0.0,0.026819898135838363,0.04543528674086857,1.0,1.0,1.0,1.0,-0.330411011932992,0.0,0.013717771418200842,0.020593532947665267,1.0,1.0,1.0,1.0,False,False
41,0.7496525957479213,-0.28793958580107215,0.0,0.04204130689866321,0.04555467785827514,1.0,1.0,1.0,1.0,-0.24095103148004063,0.0,0.07968560715661908,0.08651776580844203,1.0,1.0,1.0,1.0,False,False
42,0.7542850059463353,-0.2226080160933423,0.0,0.10646424187544007,0.10699286758019241,0.004995004995004995,0.027750027750027752,1.0,1.0,-0.22253579720044586,0.0,0.0976818852101593,0.09985824860610595,0.002997002997002997,0.0157736999842263,1.0,1.0,False,False
43,0.7587422149690387,-0.3046017175690541,0.0,0.022064165011729437,0.031254804574525265,1.0,1.0,1.0,1.0,-0.33324570089387306,0.0,0.011171934025390403,0.023067324642368985,1.0,1.0,1.0,1.0,False,False
44,0.7629917468325188,-0.2919315725646125,0.0,0.026488967442062996,0.020115951164719027,1.0,1.0,1.0,1.0,-0.29310010907637596,0.0,0.02945294050185137,0.0326918878456475,1.0,1.0,1.0,1.0,False,False
45,0.767196798838155,-0.2780111525624747,0.0,0.07248386090613494,0.06818963376943134,1.0,1.0,1.0,1.0,-0.26845959757285204,0.0,0.07068519720950163,0.06469900349835625,1.0,1.0,1.0,1.0,False,False
46,0.7713802092714278,-0.3185967502443804,0.0,0.025223652388687685,0.0473991122206677,1.0,1.0,1.0,1.0,-0.3703954676626166,0.0,-0.009851539726186782,0.004417806001883839,1.0,1.0,1.0,1.0,False,False
47,0.7753806940902457,-0.2728957801395661,0.0,0.04881329337027237,0.049343838583683935,1.0,1.0,1.0,1.0,-0.2663594576114634,0.0,0.045183151332711835,0.05039676453608229,1.0,1.0,1.0,1.0,False,False
48,0.779187080318749,-0.2780278573340124,0.0,0.08176219638996275,0.06718846976040668,1.0,1.0,1.0,1.0,-0.2688372084634038,0.0,0.07264039020824634,0.05931696234464166,1.0,1.0,1.0,1.0,False,False
49,0.7829738616447378,-0.3192251307012587,0.0,0.02308579887875627,0.023076150066943135,1.0,1.0,1.0,1.0,-0.3303437174577538,0.0,0.0003564725071268376,0.01412701252705893,1.0,1.0,1.0,1.0,False,False
