parcel,network,principal_gradient_1,video,video_sem,content,content_sem,video_content,video_content_sem,unique_video_given_content,unique_video_given_content_sem,unique_content_given_video,unique_content_given_video_sem,commonality_video_content,commonality_video_content_sem,unique_av_vc,unique_av_vc_sem,unique_e2_vc,unique_e2_vc_sem,unique_e34_vc,unique_e34_vc_sem,matched_2d_vs_av,matched_2d_vs_av_sem,fine_grained_vs_av,fine_grained_vs_av_sem,resolution_34d_vs_2d,resolution_34d_vs_2d_sem,unique_e3_vc,unique_e3_vc_sem,unique_e5_vc,unique_e5_vc_sem,unique_e10_vc,unique_e10_vc_sem,unique_e20_vc,unique_e20_vc_sem
125,Limbic,-0.010162492984650693,0.0933641404200221,0.016230663981895606,0.07571921413841651,0.011110273082367426,0.09701568048440708,0.01502502212989441,0.021296466345990563,0.005012847463198212,0.0036515400643849726,0.001471691079903343,0.07206767407403154,0.012186868604483666,0.0002930360699606949,0.00017725987502364814,0.000361383341384891,0.00022609323127608272,0.001491033486565363,0.00037011325011173876,6.834727142419616e-05,0.00011589763555262784,0.001197997416604668,0.0004235334013010016,0.0011296501451804719,0.0005147433927574427,0.0003603674213560781,0.00021804105718301644,0.00038067879935042013,0.0002024160245668571,0.000842781028545625,8.322334822657252e-05,0.0014380418086871627,6.82063661851961e-05
126,Limbic,-0.007408678607879527,0.06310150046873317,0.01559588756874842,0.037806857374723626,0.011249361285974407,0.06594736389454248,0.01503132267195799,0.028140506519818854,0.005517970330008091,0.002845863425809303,0.0012996156552897756,0.03496099394891432,0.011634021496477001,0.0005124962682575785,0.00038189185493544495,0.0003737148124226319,0.00031135702646236567,0.0014093299613923804,0.0004003820381317527,-0.0001387814558349465,0.00011690154737282277,0.000896833693134802,0.00034198051354542106,0.0010356151489697486,0.00032716203586056656,0.00043049277968048026,0.00028921097842509103,0.0006281215841713372,0.0003274417723703907,0.0009616421584379697,0.0004215423673618702,0.0012719913990081543,0.000435138077463409
127,Cont,-0.010684096629716108,0.13527070525722223,0.02611708395109373,0.09205795182837746,0.02774064468500969,0.13408919691231339,0.02645705683908283,0.04203124508393592,0.004343113462611244,-0.001181508344908866,0.0010103533884795166,0.09323946017328633,0.0272908642628736,0.0005585934813166383,0.00016690168994942824,0.00018248517621501925,0.00010596419408143336,0.001746889126097373,0.0003046960893856842,-0.000376108305101619,0.0001802298241845503,0.0011882956447807347,0.00017403653433741418,0.0015644039498823536,0.000288874190121069,0.0006815036294782528,0.0001382844599229823,0.0011492347212720632,0.00014837906790447574,0.0015381345705488103,0.00019143318752771116,0.001661797579948976,0.00027198601717041027
128,Cont,-0.004929389518845032,0.04660964148925899,0.015260659325534163,0.029931972569570853,0.014425952411665008,0.049254295553838603,0.01520575086320674,0.019322322984267747,0.002582990482796012,0.00264465406457961,0.0013278867226131554,0.02728731850499124,0.014366626564744585,0.0003038197478515414,0.0001828099392737382,0.0005025543516031794,0.0002354776018449802,0.0013919771112863356,0.0003068689403902857,0.00019873460375163798,8.450662943302533e-05,0.0010881573634347942,0.00033844630690591513,0.0008894227596831561,0.000336589280461734,0.0005556471234521299,0.0002236196798880356,0.0005221195476851958,0.0002282542660704929,0.0010422031022901735,0.00023287891844414414,0.0013186174351963009,0.00025153240083138447
129,Cont,0.002809956854254708,0.03919911620942131,0.009634580213552343,0.02043075023196239,0.009864240427138085,0.04257376742985799,0.00960128937032083,0.022143017197895597,0.0013843855321466448,0.003374651220436675,0.0009794698460084707,0.017056099011525716,0.00987320660908492,0.0007327024925695147,0.00022910107421555745,0.000504378512534287,0.0002172583280440492,0.0017046925470739493,0.00042688499349732275,-0.0002283239800352277,0.00018578776601115615,0.0009719900545044347,0.00036063625179158927,0.0012003140345396624,0.00047805532306013123,0.0006449295253109,0.00023438886661106154,0.0007753500593228102,0.00026627279324198025,0.0011821164990970078,0.00035119747210642067,0.0013250357339332996,0.0003895039254498333
130,Cont,-0.012300221746871788,0.09749648498243235,0.023945083831088215,0.08015869795910595,0.024165090734452294,0.10297315123247212,0.024849590449307898,0.022814453273366175,0.0054367123887543375,0.005476666250039774,0.0026534182873847885,0.07468203170906618,0.022752017494571845,0.00035611942447624225,0.00020443327043281564,0.0003168106453983022,0.00010389431963079441,0.0020760171159249553,0.0005249253597882703,-3.9308779077940056e-05,0.000152804401848645,0.001719897691448713,0.0005426327892848126,0.001759206470526653,0.0005319127214836638,0.0004375565196794495,0.00011935519405463872,0.00045329422559150514,0.00013618200106868146,0.0014795191909300121,0.0002952772845754558,0.0020181683261465853,0.0004380089616299389
131,Cont,0.0010285763552033743,0.01729687652270928,0.01158665735103994,0.0015015829539116732,0.013231844485270882,0.01986079784011936,0.01245728705236588,0.018359214886207686,0.002271035790493776,0.0025639213174100785,0.001163363007304743,-0.0010623383634984051,0.012411796844392892,0.00042656644687548705,0.00023387033835097125,0.00020012824153221588,0.0001532869563162081,0.0010723355786071754,0.0005703861242751354,-0.0002264382053432712,0.00010329582080664702,0.0006457691317316883,0.0004335750523369043,0.0008722073370749595,0.0004478822219436613,0.00022430055134490257,0.00015445609670499303,0.0003039519631116594,0.00024957171267891764,0.0006087582190433371,0.00030954355636126816,0.0009164951270230981,0.0005202818648095168
132,Cont,-0.003632482106168374,0.06376852312638426,0.009676027877259978,0.035400900719594855,0.007988705799196884,0.06582235589203808,0.010143013173362967,0.030421455172443233,0.003999664041546724,0.002053832765653829,0.0012898837903206459,0.033347067953941024,0.00775886452156894,0.0006730583810397262,0.00011490948912423754,0.0006912421443271644,0.00014450116780958646,0.0023707564733002283,0.000450912211551923,1.8183763287438204e-05,0.00010447682392120933,0.0016976980922605023,0.0003740811981673566,0.001679514328973064,0.0003646340825703846,0.000803054970712358,0.00016701520688291294,0.0009075650285641946,0.00014370572639713878,0.0018779451419024041,0.0003985983844009009,0.0023613132473392583,0.0004488574122490165
133,Cont,-0.004677713057032502,0.027078996046762317,0.011894671641331131,0.0081665628199866,0.014299658363595737,0.029844647099455068,0.012668531644186961,0.02167808427946847,0.004034800155369002,0.0027656510526927526,0.0022811745233160337,0.005400911767293848,0.013087952019099996,3.271499950900925e-05,3.507295324409593e-05,0.00014416684376090673,6.945775360015321e-05,0.0011673710547268623,0.0005491753071845499,0.00011145184425189746,7.747086700480343e-05,0.001134656055217853,0.0005524044490022034,0.0010232042109659556,0.0005119641547459373,0.00018728474498030945,0.00011636610298711031,0.0001890703796389781,0.00011770401049294456,0.0006888622310821324,0.00031165291378130284,0.0010017913909329047,0.0005074126545679532
134,Cont,0.005366290650210957,0.03407728588332302,0.009200761912466542,0.011264026274062266,0.007072479061283242,0.03728211277215303,0.009230570219221303,0.026018086498090766,0.002664534802123133,0.003204826888830015,0.000750879207779955,0.008059199385232252,0.0069785339410602795,0.0012676170326525904,0.00037257626228789134,0.0009354808378754465,0.0002847519226473891,0.0017820840882064148,0.0003382238505560846,-0.000332136194777144,0.00021591625078648435,0.0005144670555538245,0.00029196978082713477,0.0008466032503309684,0.0003429734981937305,0.0009578661677583034,0.00026501815339651023,0.0010021772944855956,0.00029611810438423834,0.0015199005033489366,0.000437060271643283,0.0016537337816550312,0.0004301714296358105
