subject,map,network,mean
4,content,Default,0.013140051889329549
5,content,Vis,0.0038182610775962696
5,content,SomMot,0.017614712780787377
5,content,DorsAttn,0.052248938388601764
5,content,SalVentAttn,-0.0032504632828635554
5,content,Limbic,-0.0006755313041695128
5,content,Cont,-0.003219265569929993
5,content,Default,0.01804792921796979
1,video_content,Vis,0.059943268084305466
1,video_content,SomMot,0.06040926028872719
1,video_content,DorsAttn,0.0860813453286431
1,video_content,SalVentAttn,0.04172984080065454
1,video_content,Limbic,0.04768954103141122
1,video_content,Cont,0.05742827588820085
1,video_content,Default,0.05147216395515333
2,video_content,Vis,0.08790681994385303
2,video_content,SomMot,0.08525960420647674
2,video_content,DorsAttn,0.11810616387216814
2,video_content,SalVentAttn,0.049170458114628945
2,video_content,Limbic,0.051832426192199084
2,video_content,Cont,0.07803337554163944
2,video_content,Default,0.07403980439953857
3,video_content,Vis,0.0934924664049532
3,video_content,SomMot,0.06467135480583716
3,video_content,DorsAttn,0.12240125870283251
3,video_content,SalVentAttn,0.03714620675985838
3,video_content,Limbic,0.03058583281040013
3,video_content,Cont,0.044869269819582946
3,video_content,Default,0.0458759568376845
4,video_content,Vis,0.0705873602482246
4,video_content,SomMot,0.05762145522204809
4,video_content,DorsAttn,0.08765625223810827
4,video_content,SalVentAttn,0.02773556886774051
4,video_content,Limbic,0.03123752564860525
4,video_content,Cont,0.03382052348093893
4,video_content,Default,0.038211253919109664
5,video_content,Vis,0.038076742299461404
5,video_content,SomMot,0.049971500816746346
5,video_content,DorsAttn,0.0893420167211949
5,video_content,SalVentAttn,0.027017545927679864
5,video_content,Limbic,0.026117626824001088
5,video_content,Cont,0.025811622471028615
5,video_content,Default,0.04373171626829424
1,unique_video_given_content,Vis,0.03229598515899811
1,unique_video_given_content,SomMot,0.029247492240819246
1,unique_video_given_content,DorsAttn,0.02506765132788107
1,unique_video_given_content,SalVentAttn,0.027416423147982143
1,unique_video_given_content,Limbic,0.0280000551840896
1,unique_video_given_content,Cont,0.02689605378529679
1,unique_video_given_content,Default,0.023599108971560742
2,unique_video_given_content,Vis,0.03908388132324398
2,unique_video_given_content,SomMot,0.03489043794883092
2,unique_video_given_content,DorsAttn,0.0426418008537794
2,unique_video_given_content,SalVentAttn,0.03194973659926592
2,unique_video_given_content,Limbic,0.024135412504811014
2,unique_video_given_content,Cont,0.024100301831683855
2,unique_video_given_content,Default,0.02139799904310014
3,unique_video_given_content,Vis,0.05628569603979026
3,unique_video_given_content,SomMot,0.028549850364794883
3,unique_video_given_content,DorsAttn,0.035882196722335745
3,unique_video_given_content,SalVentAttn,0.02565920819036322
3,unique_video_given_content,Limbic,0.02309642803907874
3,unique_video_given_content,Cont,0.022436404303601568
